Account,Followers,Quality_Audience,ER,Est_Post_Price,Avg_Reels_View,Category,Interests,Turkey,Comment_Rate,Score,Sponsored_Reels_View,Campaign_Reach,Performance_Ratio,Cost_Per_Reach,Link_Clicks,Cost_Per_Click,Actual_Campaign_Cost
yasemoz88,7085575,6265065,4.723054,20450.0,7477028,"Entertainment, Funny Videos, Movies & TV Shows, Political Shows, TV Show, Memes, Actors or Actress, Parody & Sketches, Singer, TV Series","Entertainment : 68%, Film & Television : 68%, Theater : 54%, Politics : 45%, Beauty : 44%, Dance : 43%, Fashion : 42%, Social Issues : 39%, Unboxings : 38%, Makeup : 29%, Music : 28%, Parenting & Relationships : 28%, Skincare : 27%, Haircare : 25%, Modeling : 25%, Cosplay : 24%, Business and Careers : 24%, Nail Care : 22%, Traveling : 22%, Health & Medicine : 21%, Stand-up Comedy : 21%, Luxury : 20%",71,0.1,90,,,,,,,
muslera,5475654,4618714,6.964017,17750.0,6491084,"Football & Soccer, Rugby, Handball, Volleyball, Sports, Baseball, American Football, Cricket, Tennis, Hockey","Volleyball : 95%, Baseball : 95%, Football & Soccer : 92%, American Football : 89%, Basketball : 87%, Ice Hockey : 64%, Politics : 61%, Social Issues : 59%, Entertainment : 54%, Film & Television : 43%, Business and Careers : 39%, Tennis : 39%, Dance : 38%, Theater : 38%, Fashion : 35%, Music : 33%, Parenting & Relationships : 32%, Stand-up Comedy : 32%, Running & Athletics : 31%, Finance & Accounting : 29%, Unboxings : 27%, Beauty : 26%, Traveling : 26%, Wrestling : 23%, Philanthropy & Charity : 23%",67,0.02,90,,,,,,,
keremakturkoglu,3348529,2909871,12.41466,11350.0,2990962,"Football & Soccer, Rugby, Volleyball, American Football, Handball, Sports, Baseball, Cricket, Hockey, Basketball","Baseball : 94%, Football & Soccer : 92%, American Football : 92%, Volleyball : 89%, Basketball : 86%, Politics : 76%, Social Issues : 72%, Ice Hockey : 58%, Film & Television : 57%, Entertainment : 44%, Business and Careers : 37%, Theater : 35%, Fashion : 31%, Dance : 30%, Traveling : 29%, Tennis : 28%, Finance & Accounting : 28%, Stand-up Comedy : 27%, Music : 27%, Unboxings : 26%, Parenting & Relationships : 24%, Beauty : 24%, Religion : 24%, Motorcycles : 21%, Philanthropy & Charity : 21%",79,0.2,90,,,,,,,
barisalperyilmaz,2754084,2375397,20.852777,7850.0,15111195,"Football & Soccer, Handball, Volleyball, Rugby, Baseball, American Football, Sports, Basketball, Cricket, Hockey","Baseball : 92%, American Football : 91%, Football & Soccer : 90%, Volleyball : 87%, Basketball : 82%, Politics : 76%, Social Issues : 71%, Film & Television : 60%, Entertainment : 56%, Ice Hockey : 44%, Business and Careers : 40%, Theater : 38%, Fashion : 35%, Dance : 34%, Finance & Accounting : 31%, Music : 29%, Unboxings : 29%, Traveling : 27%, Stand-up Comedy : 27%, Parenting & Relationships : 26%, Beauty : 25%, Tennis : 23%, Religion : 23%, Philanthropy & Charity : 21%",75,0.23,90,,,,,,,
oguzhanalpdogan41,2082240,1831330,11.4932,6000.0,7266917,"Politics, Political Shows, Political Leaders, Social Issues, Social Organisations, Sales & Marketing, Movies & TV Shows, Memes, Funny Videos, Internet of Things","Social Issues : 79%, Politics : 77%, Film & Television : 67%, Entertainment : 52%, Unboxings : 42%, Theater : 39%, Business and Careers : 35%, Religion : 34%, Parenting & Relationships : 33%, Fashion : 27%, Finance & Accounting : 26%, Technology & Gadgets : 26%, Philanthropy & Charity : 25%, Music : 25%, Beauty : 24%, Dance : 23%, Health & Medicine : 22%, Children's Games & Toys : 22%, Stand-up Comedy : 21%, Football & Soccer : 21%",84,0.08,90,,,,,,,
yunusakgun17,1764329,1637473,14.216453,5400.0,2639531,"Football & Soccer, Volleyball, Handball, Rugby, Sports, Baseball, American Football, Cricket, Basketball, Politics","Football & Soccer : 83%, Politics : 82%, Volleyball : 82%, American Football : 79%, Baseball : 78%, Basketball : 70%, Social Issues : 67%, Film & Television : 60%, Entertainment : 55%, Theater : 37%, Business and Careers : 37%, Ice Hockey : 37%, Dance : 33%, Traveling : 33%, Fashion : 32%, Music : 31%, Finance & Accounting : 28%, Unboxings : 28%, Stand-up Comedy : 25%, Beauty : 24%, Religion : 24%, Parenting & Relationships : 23%, Motorcycles : 21%",80,0.11,90,,,,,,,
gezenoglak,1990084,1630475,5.231312,5250.0,3778610,"Pet Health, Cats, Gogs, Exotic Pets, Memes, Friendship, Pet Accessories, Pets, Birds, Pet Nutrition","Social Issues : 80%, Politics : 80%, Film & Television : 60%, Pet Care : 39%, Ecology : 33%, Unboxings : 32%, Children's Games & Toys : 29%, Parenting & Relationships : 28%, Entertainment : 28%, Hiking & Trekking : 25%, Philanthropy & Charity : 25%, Traveling : 23%, Football & Soccer : 23%, Motorcycles : 23%, Religion : 23%, Business and Careers : 23%, Technology & Gadgets : 22%, Volleyball : 20%, Fashion : 20%, Beauty : 20%",71,0.05,90,,,,,,,
ozanakbaba,1955169,1626896,9.609246,5200.0,3397446,"Actors or Actress, Movies & TV Shows, Movies, Cinema, Entertainment, Political Shows, Parody & Sketches, Cosplay, Artificial Intelligence, Politics","Film & Television : 86%, Entertainment : 80%, Politics : 66%, Social Issues : 53%, Theater : 52%, Football & Soccer : 43%, Traveling : 41%, Video Gaming : 41%, Baseball : 39%, Volleyball : 35%, Cosplay : 34%, American Football : 32%, Dance : 30%, Basketball : 30%, Technology & Gadgets : 29%, Fashion : 28%, Music : 26%, Photography : 25%, Beauty : 25%, Hiking & Trekking : 22%, Religion : 20%, Unboxings : 20%, Modeling : 20%",47,0.08,90,,,,,,,
fbbasketbol,1650442,1409312,5.643519,4600.0,337281,"Football & Soccer, American Football, Handball, Rugby, Baseball, Volleyball, Cricket, Sports, Basketball, Hockey","American Football : 95%, Football & Soccer : 95%, Baseball : 94%, Volleyball : 92%, Basketball : 90%, Ice Hockey : 74%, Entertainment : 62%, Film & Television : 61%, Politics : 58%, Social Issues : 48%, Theater : 39%, Dance : 39%, Tennis : 39%, Stand-up Comedy : 38%, Fashion : 35%, Music : 34%, Beauty : 29%, Traveling : 28%, Business and Careers : 28%, Technology & Gadgets : 27%, Cosplay : 25%, Unboxings : 25%, Parenting & Relationships : 22%, Modeling : 21%, Running & Athletics : 21%",72,0.03,90,,,,,,,
ahmetcandundar,1374512,1203385,10.285287,4800.0,6308681,"Standup, Shopping & Fashion Travel, Romantic Relationships & Dating, Fashion Trends, Fashion, Love & Intimacy, Lingerie & Intimates, Barbershops, Memes, Hobbies","Fashion : 65%, Entertainment : 61%, Dance : 56%, Beauty : 52%, Theater : 51%, Film & Television : 48%, Traveling : 45%, Modeling : 45%, Stand-up Comedy : 42%, Luxury : 36%, Music : 35%, Social Issues : 35%, Politics : 31%, Makeup : 31%, Unboxings : 31%, Volleyball : 27%, Hiking & Trekking : 26%, Fitness & Bodybuilding : 26%, Health & Medicine : 25%, Yoga : 24%, Skincare : 24%, Haircare : 21%, Photography : 21%, Business and Careers : 20%",42,0.45,90,,,,,,,
